# HCP-VS limbic striatum subject-level connectivity values
# Created: 2026-06-03
#
# This file contains HCP Subject IDs and derived hippocampus-ventral striatum (HPC-VS) limbic striatum connectivity values only.
# Connectivity columns correspond to the source variables limbic_Left and limbic_Right from averaged_data.sav.
# No HCP behavioral, demographic, diagnostic, alcohol-use, or other questionnaire variables are included in this file.
# Those HCP measures must be obtained through the Human Connectome Project/ConnectomeDB under the appropriate data-use terms.
# Open-access HCP data require ConnectomeDB registration and acceptance of the Open Access Data Use Terms.
# Restricted HCP data elements require a separate Restricted Data application; each investigator who will view/use restricted data must apply, and approval is case-by-case.
# ConnectomeDB: https://db.humanconnectome.org
# HCP Young Adult Data Use Terms and Restricted Data application links: https://www.humanconnectome.org/study/hcp-young-adult/data-use-terms
# Restricted Data Usage overview: https://www.humanconnectome.org/study/hcp-young-adult/document/restricted-data-usage
#
# N subjects with complete left/right HPC-VS limbic striatum values: 626
#
Subject	HPC_VS_limbic_striatum_left	HPC_VS_limbic_striatum_right
100206	0.438436333333333	0.392730333333333
100307	0.444317	0.406403666666667
100408	0.252683	0.264623666666667
100610	0.364245	0.410186666666667
101006	0.353073666666667	0.337330666666667
101107	0.386009666666667	0.379783666666667
101309	0.534493666666667	0.386311666666667
101410	0.355343	0.405512666666667
102311	0.42017	0.350735333333333
102513	0.319809	0.449248666666667
102816	0.297931	0.267872666666667
103111	0.364040666666667	0.316075333333333
103414	0.551528333333333	0.387228333333333
103515	0.338334	0.378312
103818	0.267933	0.33457
104012	0.26369	0.341408333333333
104416	0.294354333333333	0.415157333333333
104820	0.444062	0.516755666666667
105014	0.631821666666667	0.548847333333333
105115	0.449171333333333	0.354141333333333
105216	0.580129	0.482344
105620	0.396504666666667	0.382499
105923	0.439867	0.520776333333333
106016	0.343032666666667	0.399119
106319	0.334205333333333	0.396857333333333
106521	0.396732333333333	0.391615
107018	0.282281333333333	0.375751666666667
107321	0.515013	0.418424666666667
107422	0.535029666666667	0.411283333333333
108121	0.336048	0.424477
108222	0.505094333333333	0.440596
108525	0.393083333333333	0.309622666666667
108828	0.403957	0.457941666666667
109123	0.419873333333333	0.37222
109830	0.453135333333333	0.383589333333333
110411	0.418477666666667	0.473499333333333
110613	0.3228	0.287545333333333
111009	0.289478333333333	0.345498333333333
111312	0.239561333333333	0.16669
111413	0.309306666666667	0.397306666666667
111514	0.366786666666667	0.417499
111716	0.437858	0.380531666666667
112112	0.432105666666667	0.337358333333333
112314	0.40123	0.364863333333333
112516	0.428962666666667	0.212594666666667
112920	0.226423333333333	0.233274666666667
113215	0.385122	0.430889
113619	0.459601	0.448025666666667
113922	0.346264666666667	0.436489
114217	0.303884666666667	0.237813666666667
114419	0.509241333333333	0.37297
114621	0.286389333333333	0.340425666666667
114823	0.485820333333333	0.489339666666667
115017	0.476177	0.39228
115320	0.394346666666667	0.310745666666667
115825	0.310791333333333	0.305824
116221	0.401229333333333	0.387813333333333
116524	0.619726	0.454596666666667
116726	0.288555333333333	0.409704666666667
117122	0.398786	0.508390333333333
117324	0.320476	0.365522333333333
117930	0.360141666666667	0.466488333333333
118124	0.282522	0.485164
118225	0.333295666666667	0.487711333333333
118528	0.290415	0.359218666666667
118730	0.375843	0.380221333333333
118932	0.430172666666667	0.489496666666667
119126	0.590334	0.372284
119732	0.321678666666667	0.234426666666667
119833	0.37271	0.477550333333333
120212	0.365515333333333	0.481513
120515	0.342239	0.369112666666667
120717	0.276347333333333	0.382342333333333
121416	0.501188666666667	0.504310333333333
121618	0.466026	0.512269666666667
121921	0.295602666666667	0.247014
122317	0.311330666666667	0.443792
122620	0.418922	0.366204
122822	0.349708666666667	0.294645666666667
123117	0.3293	0.454149666666667
123521	0.205838666666667	0.255921333333333
123925	0.340733	0.312784666666667
124220	0.337646333333333	0.542307666666667
124422	0.448694666666667	0.327727
124624	0.425858	0.382236666666667
124826	0.270209333333333	0.401068333333333
126325	0.330123333333333	0.356107
126628	0.436692333333333	0.414352666666667
127630	0.256868666666667	0.303405
127933	0.412368666666667	0.402881
128026	0.296819	0.425745333333333
128632	0.323518	0.287009333333333
128935	0.353885666666667	0.401522666666667
129028	0.425763	0.455962333333333
129129	0.290029	0.311330666666667
129331	0.408039	0.476365666666667
129634	0.378137	0.429853
129937	0.405448333333333	0.417482333333333
130316	0.395043333333333	0.388413666666667
130417	0.444835333333333	0.424013666666667
130619	0.218006333333333	0.394653666666667
130821	0.283346666666667	0.404809333333333
131217	0.382876666666667	0.420275333333333
131419	0.409659666666667	0.372256333333333
131722	0.504912666666667	0.497816333333333
131823	0.366964	0.377706333333333
131924	0.371127333333333	0.518733666666667
132017	0.355635666666667	0.444485666666667
133019	0.152111666666667	0.526875
133625	0.343255666666667	0.339996333333333
133827	0.410755666666667	0.334498
133928	0.239356333333333	0.382478666666667
134021	0.403955	0.314370666666667
134223	0.447442666666667	0.377159333333333
134425	0.310245	0.397457666666667
134728	0.383644	0.244038
134829	0.258307666666667	0.446430666666667
135225	0.266495666666667	0.384106
135730	0.543199	0.423239
135932	0.281230333333333	0.489439
136732	0.198411333333333	0.432644666666667
136833	0.43701	0.351135
137229	0.392841333333333	0.401922333333333
138231	0.277187	0.529775666666667
138837	0.201547666666667	0.361432333333333
139233	0.529594666666667	0.546717
139637	0.527784333333333	0.440841
139839	0.41016	0.415801666666667
140117	0.555728333333333	0.503612333333333
140319	0.280871666666667	0.375244333333333
140824	0.590072333333333	0.331894333333333
141119	0.270951333333333	0.269138
141422	0.306797	0.428975
141826	0.450497	0.508562666666667
143325	0.440030333333333	0.372355
144125	0.387206	0.342634
144428	0.610168666666667	0.488974333333333
144731	0.300537	0.364003333333333
144832	0.260556666666667	0.401715333333333
145127	0.415853	0.362088
145834	0.375441333333333	0.469974
146129	0.352737	0.346552666666667
146331	0.456637666666667	0.477734333333333
146432	0.221384333333333	0.375786666666667
146533	0.371079666666667	0.438762333333333
146937	0.25953	0.409095333333333
147030	0.26092	0.279439
148032	0.288939666666667	0.396950333333333
148133	0.381723	0.261441666666667
148335	0.492585333333333	0.578969666666667
148840	0.423667	0.374607666666667
148941	0.28509	0.395339
149236	0.314525	0.356860333333333
149337	0.471214666666667	0.303848666666667
149539	0.424426333333333	0.376863666666667
149741	0.496778	0.485723666666667
149842	0.437375333333333	0.348850333333333
150625	0.265726666666667	0.291621333333333
150726	0.553902666666667	0.497019
151223	0.468221	0.499665666666667
151526	0.379741333333333	0.413852
151728	0.249202333333333	0.353103333333333
151829	0.670065333333333	0.34045
