hemisphere,DxGroup,emmean,SE,df,lower.CL,upper.CL
Left,No AUD,-0.015161206492966676,0.04702230996386221,588,-0.10751333528122538,0.07719092229529202
Left,Abuse,0.10600185229225911,0.09820035516354868,588,-0.08686429686303651,0.29886800144755477
Left,Dependence,0.06260877918398464,0.20380394767574153,588,-0.3376635264039496,0.4628810847719188
Right,No AUD,0.010879929010905693,0.047053738332032066,588,-0.08153392530098334,0.10329378332279472
Right,Abuse,-0.04217896067859658,0.09826598947455684,588,-0.23517401605623245,0.15081609469903928
Right,Dependence,-0.006894942086937864,0.20394016441003096,588,-0.40743477824489044,0.3936448940710147
