model,row_id,Subject,deleted_position,term,dfbetas,abs_dfbetas
right_interaction,366,309636,20,c_right_hpc_vs,0.053198208246686654,0.053198208246686654
right_interaction,366,309636,20,Sex1,0.01797700331500698,0.01797700331500698
right_interaction,366,309636,20,c_right_hpc_vs:Sex1,0.05351361382195208,0.05351361382195208
right_interaction,367,201818,21,c_ICV,-0.01400374205762492,0.01400374205762492
right_interaction,367,201818,21,c_right_hpc_vs,-0.020619775705042736,0.020619775705042736
right_interaction,367,201818,21,Sex1,0.014299224786690164,0.014299224786690164
right_interaction,367,201818,21,c_right_hpc_vs:Sex1,-0.020694783773199818,0.020694783773199818
right_interaction,368,168240,22,c_ICV,-0.011449732133833731,0.011449732133833731
right_interaction,368,168240,22,c_right_hpc_vs,-0.024906208884578895,0.024906208884578895
right_interaction,368,168240,22,Sex1,-0.06873243242047614,0.06873243242047614
right_interaction,368,168240,22,c_right_hpc_vs:Sex1,0.028591122269898267,0.028591122269898267
right_interaction,369,172332,23,c_ICV,-0.04809595320117791,0.04809595320117791
right_interaction,369,172332,23,c_right_hpc_vs,-0.03778858421290541,0.03778858421290541
right_interaction,369,172332,23,Sex1,-0.010336676197342716,0.010336676197342716
right_interaction,369,172332,23,c_right_hpc_vs:Sex1,-0.04070867449514064,0.04070867449514064
right_interaction,370,177645,24,c_ICV,-0.008569891408452645,0.008569891408452645
right_interaction,370,177645,24,c_right_hpc_vs,-0.0021349605105616507,0.0021349605105616507
right_interaction,370,177645,24,Sex1,3.739029086859541e-4,3.739029086859541e-4
right_interaction,370,177645,24,c_right_hpc_vs:Sex1,-0.005659115119764697,0.005659115119764697
right_interaction,371,210415,25,c_ICV,-0.02008001618532008,0.02008001618532008
right_interaction,371,210415,25,c_right_hpc_vs,-0.044059971818948024,0.044059971818948024
right_interaction,371,210415,25,Sex1,0.008275432841268996,0.008275432841268996
right_interaction,371,210415,25,c_right_hpc_vs:Sex1,-0.044807767726397996,0.044807767726397996
right_interaction,372,133928,26,c_ICV,-0.05515668950175994,0.05515668950175994
right_interaction,372,133928,26,c_right_hpc_vs,-0.017783704329249455,0.017783704329249455
right_interaction,372,133928,26,Sex1,-0.09393565211769887,0.09393565211769887
right_interaction,372,133928,26,c_right_hpc_vs:Sex1,0.023941516078536503,0.023941516078536503
right_interaction,373,188347,27,c_ICV,-0.00767290860994003,0.00767290860994003
