model,row_id,Subject,deleted_position,term,dfbetas,abs_dfbetas
left_main,345,133019,1,c_ICV,0.04014410080766967,0.04014410080766967
left_main,345,133019,1,c_left_hpc_vs,-0.11934940667824602,0.11934940667824602
left_main,346,295146,2,c_ICV,-0.015915048536698752,0.015915048536698752
left_main,346,295146,2,c_left_hpc_vs,-0.08443346799433768,0.08443346799433768
left_main,347,725751,3,c_ICV,-0.03258400967644349,0.03258400967644349
left_main,347,725751,3,c_left_hpc_vs,0.08219109489706289,0.08219109489706289
left_main,348,123521,4,c_ICV,0.05630021466748108,0.05630021466748108
left_main,348,123521,4,c_left_hpc_vs,-0.09887723515953759,0.09887723515953759
left_main,349,138837,5,c_ICV,-0.016423014561493577,0.016423014561493577
left_main,349,138837,5,c_left_hpc_vs,0.08185803253109049,0.08185803253109049
left_main,350,389357,6,c_ICV,-0.02844257576138222,0.02844257576138222
left_main,350,389357,6,c_left_hpc_vs,-0.07192078697172918,0.07192078697172918
left_main,351,784565,7,c_ICV,0.04837265076943396,0.04837265076943396
left_main,351,784565,7,c_left_hpc_vs,-0.09645909899719302,0.09645909899719302
left_main,352,176037,8,c_ICV,0.03928775555971252,0.03928775555971252
left_main,352,176037,8,c_left_hpc_vs,0.10209939275664122,0.10209939275664122
left_main,353,497865,9,c_ICV,0.043976122464524696,0.043976122464524696
left_main,353,497865,9,c_left_hpc_vs,-0.09538954599483426,0.09538954599483426
left_main,354,136732,10,c_ICV,0.03335261961744752,0.03335261961744752
left_main,354,136732,10,c_left_hpc_vs,0.13633742219845574,0.13633742219845574
left_main,355,192540,11,c_ICV,0.012167462756029333,0.012167462756029333
left_main,355,192540,11,c_left_hpc_vs,0.041376896632462724,0.041376896632462724
left_main,357,952863,12,c_ICV,0.07935416172797864,0.07935416172797864
left_main,357,952863,12,c_left_hpc_vs,0.11574973421990382,0.11574973421990382
left_main,358,567052,13,c_ICV,-0.0014543666163264561,0.0014543666163264561
left_main,358,567052,13,c_left_hpc_vs,-0.015285091936297405,0.015285091936297405
left_main,359,130619,14,c_ICV,-0.012660018357769571,0.012660018357769571
left_main,359,130619,14,c_left_hpc_vs,-0.06987048599395687,0.06987048599395687
left_main,360,210011,15,c_ICV,-0.043640431604178256,0.043640431604178256
left_main,360,210011,15,c_left_hpc_vs,0.10279869153635764,0.10279869153635764
left_main,362,436239,16,c_ICV,0.019044199922061876,0.019044199922061876
left_main,362,436239,16,c_left_hpc_vs,-0.07867942653034245,0.07867942653034245
left_main,363,896879,17,c_ICV,-0.016367071601008986,0.016367071601008986
left_main,363,896879,17,c_left_hpc_vs,0.11517211991419649,0.11517211991419649
left_main,364,146432,18,c_ICV,0.14385307581683904,0.14385307581683904
