model,row_id,Subject,deleted_position,term,dfbetas,abs_dfbetas
right_main,345,133019,1,c_ICV,0.027254913013722612,0.027254913013722612
right_main,345,133019,1,c_right_hpc_vs,0.08988419067745386,0.08988419067745386
right_main,346,295146,2,c_ICV,-0.01853719290827924,0.01853719290827924
right_main,346,295146,2,c_right_hpc_vs,-0.05581283659681112,0.05581283659681112
right_main,347,725751,3,c_ICV,-0.021369532668961758,0.021369532668961758
right_main,347,725751,3,c_right_hpc_vs,8.351744915955949e-4,8.351744915955949e-4
right_main,348,123521,4,c_ICV,0.06623282246820587,0.06623282246820587
right_main,348,123521,4,c_right_hpc_vs,-0.10827940204222843,0.10827940204222843
right_main,349,138837,5,c_ICV,-0.0122625479695372,0.0122625479695372
right_main,349,138837,5,c_right_hpc_vs,0.01723792159776272,0.01723792159776272
right_main,350,389357,6,c_ICV,-0.042368648018564437,0.042368648018564437
right_main,350,389357,6,c_right_hpc_vs,0.03063661733005074,0.03063661733005074
right_main,351,784565,7,c_ICV,0.041372613612570656,0.041372613612570656
right_main,351,784565,7,c_right_hpc_vs,0.04457372033257929,0.04457372033257929
right_main,352,176037,8,c_ICV,0.042389437568492346,0.042389437568492346
right_main,352,176037,8,c_right_hpc_vs,-0.04269482173907485,0.04269482173907485
right_main,353,497865,9,c_ICV,0.032443648372878026,0.032443648372878026
right_main,353,497865,9,c_right_hpc_vs,0.08497360106656775,0.08497360106656775
right_main,354,136732,10,c_ICV,0.04364607646367743,0.04364607646367743
right_main,354,136732,10,c_right_hpc_vs,-0.03363213872211647,0.03363213872211647
right_main,355,192540,11,c_ICV,0.004390136899083165,0.004390136899083165
right_main,355,192540,11,c_right_hpc_vs,-2.635944178611799e-4,2.635944178611799e-4
right_main,357,952863,12,c_ICV,0.07327360952331341,0.07327360952331341
right_main,357,952863,12,c_right_hpc_vs,0.09559107558677933,0.09559107558677933
right_main,358,567052,13,c_ICV,0.010305122160084664,0.010305122160084664
right_main,358,567052,13,c_right_hpc_vs,-0.014248197577485166,0.014248197577485166
right_main,359,130619,14,c_ICV,-0.01946572134630784,0.01946572134630784
right_main,359,130619,14,c_right_hpc_vs,0.001389707696533699,0.001389707696533699
right_main,360,210011,15,c_ICV,-0.042588316216161985,0.042588316216161985
