test,df_num,df_den,F,p
Left HPC-VS connectivity: add diagnosis group,2,588,0.6514807414469058,0.5216491773372725
Right HPC-VS connectivity: add diagnosis group,2,588,0.11894106869514033,0.8878814779312693
