hemisphere,contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
Left,No AUD - Abuse,-0.12116305878522579,0.1090071761484425,588,-0.37729292445823337,0.13496680688778176,-1.1115145173582865,0.5073213026405599
Left,No AUD - Dependence,-0.07776998567695131,0.20974810527232926,588,-0.5706068421735511,0.4150668708196485,-0.37077801287395473,0.9270360170543461
Left,Abuse - Dependence,0.04339307310827448,0.22639905744932817,588,-0.48856786948165487,0.5753540156982038,0.1916663152097555,0.9799523500743623
Right,No AUD - Abuse,0.05305888968950227,0.10908003342975817,588,-0.20324216586600685,0.3093599452450114,0.4864216485931811,0.8777849858405037
Right,No AUD - Dependence,0.017774871097843557,0.20988829491168332,588,-0.47539138346927967,0.5109411256649667,0.0846872909483726,0.9960537972803978
Right,Abuse - Dependence,-0.035284018591658715,0.22655037610926415,588,-0.5676005086731628,0.49703247148984536,-0.15574469218555348,0.9867167440550508
